tokens,pos_tags
"['1936', 'yılındayız', 'yılında', 'yız', '.']","['NUM', None, 'NOUN', 'AUX', 'PUNCT']"
"['Adeta', 'kendimden', 'geçmiş', 'bir', 'haldeyim', '.']","['ADV', 'NOUN', 'ADJ', 'DET', 'VERB', 'PUNCT']"
"['O', 'nasıl', 'derse', 'desin', 'uğraştığı', 'sanatın', 'kendisine', 'emanet', 'olduğunu', 'söyleyen', 'üstadları', 'vardı', '.']","['PRON', 'ADV', 'VERB', 'ADJ', 'VERB', 'NOUN', 'PRON', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['Ahmed', 'Rasim', ',', ""Büyükada'ya"", 'gidip', 'birkaç', 'gün', 'kalmayı', 'tasarlamıştı', '.']","['PROPN', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Rüzgâr', 'yine', 'güçlü', 'esiyordu', '.']","['NOUN', 'ADV', 'ADV', 'VERB', 'PUNCT']"
"['Öte', 'yandan', 'Sarı', '-', 'Lacivertliler', ',', 'yarın', 'Samandıra', ""Tesisleri'nde"", 'Türk', 'Telekom', 'Lig', 'A', 'takımlarından', ""Kocaelispor'la"", 'saat', ""19.30'da"", 'bir', 'hazırlık', 'maçı', 'yapacak', '.']","['NOUN', 'ADJ', 'ADJ', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN', 'ADJ', 'PROPN', 'PROPN', 'INTJ', 'NOUN', 'PROPN', 'NOUN', 'PROPN', 'DET', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Peki', 'kim', 'bu', 'küçük', 've', 'basit', 'sebepleri', 'devleştirerek', 'aramıza', 'sokup', 'duruyor', '?']","['ADV', 'PRON', 'DET', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'VERB', 'VERB', 'PUNCT']"
"['Meşrutiyetin', 'ilanından', 'önceki', 'siyasi', 'faaliyetlere', 'katıldı', '.']","['PROPN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['-', 'Öger', 'Prodüksiyon', '.']","['PUNCT', 'PROPN', 'PROPN', 'PUNCT']"
"[""'Yalnız"", ',', 'neden', 'yaşamak', 'ıstırap', 'verici', 'bir', 'şey', '?']","['ADV', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'VERB', 'NUM', 'NOUN', 'PUNCT']"
"['1978', 'yılında', ',', 'Unesco', 'Yürütme', ""Kurulu'na"", ',', ""Türkiye'yi"", 'temsil', 'edecek', 'üye', 'olarak', 'seçilmiştim', '.']","['NUM', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'NOUN', 'PUNCT', 'PROPN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'VERB', 'PUNCT']"
"['Yatağan', ',', 'Milas', 've', 'Akılcılık', '...']","['PROPN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT']"
