tokens,pos_tags
"['Yasal', 'Valium', ',', 'Diazem', 'gibi', 'haplardan', 'eroine', 'geçenler', 'arasında', 'beni', 'en', 'çok', 'şaşkınlığa', 'düşüren', 'kişi', ',', 'yetmiş', 'yaşlarında', 'şık', 'giyimli', 'giyim', 'li', 'bir', 'kadın', 'oldu', '.']","['ADJ', 'PROPN', 'PUNCT', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADJ', 'PRON', 'ADV', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT', 'NUM', 'ADJ', 'ADJ', None, 'NOUN', 'ADP', 'DET', 'ADJ', 'VERB', 'PUNCT']"
"['Penceresinden', 'görünendir', 'görünen', 'dir', '.']","['NOUN', None, 'VERB', 'AUX', 'PUNCT']"
"['Nefes', 'nefese', 'kalmıştım', '.']","['NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['En', 'sonunda', 'içeriden', 'gök', 'gürültüsü', 'gibi', 'bir', 'ses', 'gelmiş', '.']","['ADV', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['Ramiz', 'yerinden', 'kalkmış', 'Naci', 'Beyin', 'yanına', 'kadar', 'sokulmuştu', '.']","['PROPN', 'NOUN', 'VERB', 'PROPN', 'NOUN', 'ADJ', 'ADP', 'VERB', 'PUNCT']"
"['Tümüyle', 'meşru', 'yollarla', 'yüksek', 'rakımlı', 'rakım', 'lı', 'tepeye', 'çıkmış', 'adamı', 'şişman', 've', 'ahaliyi', 'pişman', 'eyliyorlar', '.']","['ADV', 'ADJ', 'NOUN', 'ADJ', None, 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Niye', '?']","['ADV', 'PUNCT']"
"['Tombul', 'dizleri', ',', 'masanın', 'altından', ""Mahmut'un"", 'dizlerine', 'yapışmıştı', '.']","['ADJ', 'NOUN', 'PUNCT', 'NOUN', 'ADJ', 'PROPN', 'NOUN', 'VERB', 'PUNCT']"
"['Bu', 'sefer', 'aklına', 'Milli', 'Savunma', ""Bakanlığı'nın"", 'Askeri', 'Usul', 'Ceza', ""Yasası'na"", 'göre', 'elinde', 'tuttuğu', 'bir', 'yetki', 'geldi', '.']","['DET', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']"
"['Kapıcı', 'hergelesinin', 'bakışını', 'görsen', ',', 'aç', 'kurt', 'gibi', '...']","['PROPN', 'ADJ', 'NOUN', 'VERB', 'PUNCT', 'ADJ', 'NOUN', 'ADP', 'PUNCT']"
