tokens,pos_tags
"['Üstünde', 'lacivert', 'abajurlu', ',', 'parlak', 'bir', 'madenden', 'lamba', '.']","['NOUN', 'ADJ', 'ADJ', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']"
"['Bursa', 'abanisi', '.']","['PROPN', 'NOUN', 'PUNCT']"
"['Efendi', ',', 'sen', 'de', 'ne', 'üstüme', 'abanıyorsun', '?']","['PROPN', 'PUNCT', 'PRON', 'CCONJ', 'ADV', 'NOUN', 'VERB', 'PUNCT']"
"['İki', 'herif', 'zavallıya', 'abanıyorlar', '.']","['NUM', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Kul', 'ile', ""Tanrı'nın"", 'arasına', 'girilmez', '.']","['NOUN', 'CCONJ', 'PROPN', 'NOUN', 'VERB', 'PUNCT']"
"['Varıp', 'yaslanayım', 'Hacı', ""Bektaş'a"", '/', 'Abdalın', 'olayım', 'çullar', 'içinde']","['ADV', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADV']"
"['Atatürk', ',', 'Türk', 'milletinin', 'gönlünde', 'anıtlaştı', '.']","['PROPN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Abraş', 'at', '.']","['PROPN', 'NOUN', 'PUNCT']"
"['İklim', 'ile', 'toprağın', 'bereketi', 've', 'insanın', 'faaliyeti', 'arasında', 'yakın', 'bir', 'münasebet', 'vardır', '.']","['NOUN', 'CCONJ', 'NOUN', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['Olumlu', ',', 'verimli', 'bir', 'işe', 'adayacağı', 'zamanını', ',', 'abur', 'cubur', 'işlere', 'harcamak', 'ağırlarına', 'gider', '.']","['ADJ', 'PUNCT', 'ADJ', 'DET', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'NOUN', 'X', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['Bunlar', 'yarının', 'kadın', 'hakları', 'savunucuları', ',', 'acar', 'avukatları', 'olacak', 'soydandırlar', '.']","['PRON', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['Acele', ',', 'bir', 'karar', 'vermek', 'ihtiyacındayım', '.']","['ADJ', 'PUNCT', 'DET', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['Bakın', 'çantasında', 'acep', 'nesi', 'var', '/', 'Bir', 'çift', 'kundurayla', 'bir', 'de', 'fesi', 'var']","['VERB', 'NOUN', 'ADV', 'PRON', 'ADJ', 'PUNCT', 'NUM', 'ADJ', 'NOUN', 'NUM', 'CCONJ', 'NOUN', 'ADJ']"
