tokens,pos_tags
"['KULLANMADIM', '.']","['VERB', 'PUNCT']"
"['GÜZELDİ', '.']","['VERB', 'PUNCT']"
"['İYİYDİ', '.']","['VERB', 'PUNCT']"
"['ÇOK', 'İYİYDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['BEKLENTİMİ', 'KARŞILADI', '.']","['NOUN', 'VERB', 'PUNCT']"
"['10', 'PUAN', 'VERİYORUM', '.']","['NUM', 'NOUN', 'VERB', 'PUNCT']"
"['GAYET', 'İYİYDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['BEN', 'YAPTIRMADIM', '.']","['PRON', 'VERB', 'PUNCT']"
"['ÇOK', 'GÜZELDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['KULLANMADIK', '.']","['VERB', 'PUNCT']"
"['İLGİLENDİ', '.']","['VERB', 'PUNCT']"
"['KATILMADIM', '.']","['VERB', 'PUNCT']"
"['İLGİLİYDİ', '.']","['VERB', 'PUNCT']"
"['ÇOK', 'İLGİLENDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['ÇOK', 'İYİ', 'DEĞERLENDİRİRİM', '.']","['ADV', 'ADJ', 'VERB', 'PUNCT']"
"['MEMNUN', 'KALDIM', '.']","['ADJ', 'VERB', 'PUNCT']"
"['YARARLANMADIM', '.']","['VERB', 'PUNCT']"
"['ÇOK', 'İLGİLİYDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['TAM', 'PUAN', 'VERİYORUM', '.']","['ADJ', 'NOUN', 'VERB', 'PUNCT']"
"['MEMNUN', 'KALMADIM', '.']","['ADJ', 'VERB', 'PUNCT']"
"['İLGİLENDİLER', '.']","['VERB', 'PUNCT']"
"['10', 'PUAN', 'VERİRİM', '.']","['NUM', 'NOUN', 'VERB', 'PUNCT']"
"['ÖDEDİĞİM', 'ÜCRETİN', 'KARŞILIĞINI', 'ALAMADIM', '.']","['ADJ', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['ÇOK', 'İLGİLENDİLER', '.']","['ADV', 'VERB', 'PUNCT']"
"['ÇOK', 'MEMNUN', 'KALDIK', '.']","['ADV', 'ADJ', 'VERB', 'PUNCT']"
"['SÜPERDİ', '.']","['VERB', 'PUNCT']"
"['YILDIZLI', '5', 'PUAN', 'VERİYORUM', '.']","['ADJ', 'NUM', 'NOUN', 'VERB', 'PUNCT']"
"['HER', 'ŞEY', 'GÜZELDİ', '.']","['DET', 'NOUN', 'VERB', 'PUNCT']"
"['GAYET', 'GÜZELDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['ÇOK', 'MEMNUN', 'KALDIM', '.']","['ADV', 'ADJ', 'VERB', 'PUNCT']"
"['BİLGİ', 'VERİLDİ', '.']","['NOUN', 'VERB', 'PUNCT']"
"['MEMNUN', 'KALDIK', '.']","['ADJ', 'VERB', 'PUNCT']"
"['İYİYDİ', 'GÜZELDİ', '.']","['VERB', 'VERB', 'PUNCT']"
"['REZERVASYONU', 'BEN', 'YAPTIRMADIM', '.']","['NOUN', 'PRON', 'VERB', 'PUNCT']"
"['ÇEŞİT', 'AZDI', '.']","['NOUN', 'VERB', 'PUNCT']"
"['MÜKEMMELDİ', '.']","['VERB', 'PUNCT']"
"['NORMALDİ', '.']","['VERB', 'PUNCT']"
"['KÜÇÜKTÜ', '.']","['VERB', 'PUNCT']"
"['TEMİZ', 'BİR', 'TESİSTİ', '.']","['ADJ', 'DET', 'VERB', 'PUNCT']"
"['PERSONELLERİ', 'İLGİLİLERDİ', '.']","['NOUN', 'VERB', 'PUNCT']"
"['KONUMU', 'GÜZELDİ', '.']","['NOUN', 'VERB', 'PUNCT']"
"['10', 'PUAN', '.']","['NUM', 'NOUN', 'PUNCT']"
"['ÇOK', 'İYİ', '.']","['ADV', 'ADJ', 'PUNCT']"
"['İYİ', 'OLARAK', 'PUANLARIM', '.']","['ADJ', 'ADV', 'VERB', 'PUNCT']"
"['PUAN', 'VERMEK', 'İSTEMİYORUM', '.']","['NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['BEN', 'YAPMADIM', '.']","['PRON', 'VERB', 'PUNCT']"
"['KATILMADIK', '.']","['VERB', 'PUNCT']"
"['6', 'PUAN', 'VERİYORUM', '.']","['NUM', 'NOUN', 'VERB', 'PUNCT']"
"['ÇOK', 'İYİYDİ', '.']","['ADV', 'VERB', 'PUNCT']"
"['ÇOK', 'YARDIMCI', 'OLDU', '.']","['ADV', 'NOUN', 'VERB', 'PUNCT']"
"['DAHA', 'İYİ', 'OLABİLİRDİ', '.']","['ADV', 'ADJ', 'VERB', 'PUNCT']"
"['ANİMASYON', 'YOKTU', '.']","['NOUN', 'VERB', 'PUNCT']"
"['MİSAFİRİMİZ', 'İLE', 'GÖRÜŞÜLDÜ', '.']","['NOUN', 'CCONJ', 'VERB', 'PUNCT']"
"['FENA', 'DEĞİLDİ', '.']","['ADJ', 'AUX', 'PUNCT']"
"['TEMİZ', 'BİR', 'TESİSTİ', ',', 'PERSONELLER', 'İLGİLİYDİ', ',', 'YEMEKLERİNDEN', 'MEMNUN', 'KALDIM', '.']","['ADJ', 'DET', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['YARDIMCI', 'OLDULAR', '.']","['NOUN', 'VERB', 'PUNCT']"
"['HAVUZ', 'KÜÇÜKTÜ', '.']","['NOUN', 'VERB', 'PUNCT']"
"['YARDIMCI', 'OLDU', '.']","['NOUN', 'VERB', 'PUNCT']"
"['ÇOK', 'İYİ', '.']","['ADV', 'ADJ', 'PUNCT']"
