tokens,pos_tags
"['У', 'домі', 'римського', 'патриція', 'Руфіна', 'була', 'прегарна', 'фреска', ',', 'зображення', 'Венери', 'та', 'Адоніса', '.']","[7, 0, 11, 0, 10, 4, 11, 0, 1, 0, 10, 5, 10, 1]"
"['Якось', 'зібралися', 'у', 'нього', ',', 'ховаючися', 'від', 'переслідувань', ',', 'одновірці', 'дружини', '–', 'християнки', '.']","[8, 4, 7, 6, 1, 4, 7, 0, 1, 0, 0, 1, 0, 1]"
"['Й', 'одразу', 'ж', 'узялися', 'замазувати', 'стіну', ',', 'певні', 'свого', 'права', 'негайно', 'знищити', 'гріховне', ',', 'як', 'на', 'їх', 'погляд', ',', 'мальовидло', '.']","[5, 8, 9, 4, 4, 0, 1, 11, 2, 0, 8, 4, 11, 1, 3, 7, 2, 0, 1, 0, 1]"
"['Це', 'одна', 'з', 'надзвичайно', 'важливих', 'сцен', 'у', 'драмі', 'Лесі', 'Українки', '«', 'Руфін', 'і', 'Прісцілла', '»', '.']","[6, 2, 7, 8, 11, 0, 7, 0, 10, 10, 1, 10, 5, 10, 1, 1]"
"['Як', 'і', 'багато', 'інших', 'її', 'сюжетів', ',', 'вона', 'виявилася', 'візіонерським', 'передбаченням', ':', 'за', 'якесь', 'десятиліття', 'після', 'написання', 'твору', 'несамовиті', 'ревнителі', 'нового', 'ладу', 'почали', 'нищити', 'культурні', 'скарби', ',', 'до', 'того', 'ж', 'засобами', 'вони', 'володіли', 'непорівнянно', 'потужнішими', ',', 'аніж', 'гнані', 'сектярі', 'при', 'початку', 'християнської', 'ери', '.']","[3, 9, 2, 2, 2, 0, 1, 6, 4, 11, 0, 1, 7, 2, 0, 7, 0, 0, 11, 0, 11, 0, 4, 4, 11, 0, 1, 7, 6, 9, 0, 6, 4, 8, 11, 1, 3, 11, 0, 7, 0, 11, 0, 1]"
"['Мистецька', 'спадщина', 'стала', 'лише', 'одним', 'з', 'інструментів', 'у', 'невпинній', 'ідеологічній', 'боротьбі', '.']","[11, 0, 4, 9, 2, 7, 0, 7, 11, 11, 0, 1]"
"['Усе', ',', 'що', 'не', 'відповідало', 'радянським', 'уявленням', 'про', 'корисність', '(', 'інші', 'функції', 'мистецтва', 'майже', 'не', 'бралися', 'до', 'уваги', ',', 'воно', 'мало', 'лише', 'виховувати', 'лояльних', 'до', 'влади', 'громадян', ')', ',', 'цензурувалося', ',', 'замовчувалося', '.']","[6, 1, 3, 9, 4, 11, 0, 7, 0, 1, 2, 0, 0, 8, 9, 4, 7, 0, 1, 6, 4, 9, 4, 11, 7, 0, 0, 1, 1, 4, 1, 4, 1]"
"['Мало', 'не', 'сто', 'років', 'тому', 'Микола', 'Зеров', 'радив', 'не', 'гаючись', '«', 'перевіяти', 'на', 'току', 'критики', '»', 'наші', 'мистецькі', 'набутки', ',', 'відсіяти', 'полову', ',', 'виважити', 'все', 'найдобірніше', 'й', 'означити', 'тяглість', 'національної', 'традиції', '.']","[8, 9, 13, 0, 8, 10, 10, 4, 9, 4, 1, 4, 7, 0, 0, 1, 2, 11, 0, 1, 4, 0, 1, 4, 2, 0, 5, 4, 0, 11, 0, 1]"
"['Однак', 'подосі', 'така', 'конче', 'необхідна', 'канонотворча', 'робота', 'вповні', 'не', 'виконана', ',', 'і', 'то', 'навіть', 'на', 'рівні', 'задовільної', 'публікації', 'всього', 'корпусу', 'текстів', 'хоча', 'б', 'першорядних', 'класиків', '.']","[5, 8, 2, 8, 11, 11, 0, 8, 9, 11, 1, 9, 9, 9, 7, 0, 11, 0, 2, 0, 0, 9, 9, 11, 0, 1]"
"['Лесю', 'Українку', 'цензурували', 'надзвичайно', 'пильно', ',', 'адже', 'в', 'радянському', 'іконостасі', 'вона', 'мала', 'постати', 'бездоганною', 'марксисткою', ',', '«', 'пролетарською', 'інтернаціоналісткою', '»', ',', '«', 'другом', 'робітників', '»', ',', 'предтечею', 'соціалістичного', 'реалізму', 'et', 'cetera', '.']","[10, 10, 4, 8, 8, 1, 3, 7, 11, 0, 6, 4, 4, 11, 0, 1, 1, 11, 0, 1, 1, 1, 0, 0, 1, 1, 0, 11, 0, 14, 14, 1]"
