tokens,pos_tags
"['Kak', 'so', 'potajkim', 'wikisłownik', 'wot', 'Wikipedije', 'rozeznawa', '?']","['ADV', 'PRON', 'ADV', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
"['Wonej', 'so', 'idealnje', 'wudospołnjatej', ':']","['PRON', 'PRON', 'ADV', 'ADJ', 'PUNCT']"
"['We', 'wikipediji', 'namakaš', 'encyklopediske', 'artikle', 'wo', 'někajkej', 'wěcy', 'abo', 'wosobje', ',', 'něšto', ',', 'štož', 'njesłuša', 'do', 'słownika', ';', 'na', 'druhim', 'boku', 'pak', 'njenamakaš', 'informaciju', 'wo', 'gramatice', 'abo', 'ortografiji', '(', 'wothladajo', 'wot', 'toho', ',', 'zo', 'so', 'wuraz', 'nadźijomnje', 'korektnje', 'piše', 'a', 'wužiwa', ')', '.']","['ADP', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'PRON', 'PUNCT', 'PRON', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT', 'VERB', 'ADP', 'PRON', 'PUNCT', 'SCONJ', 'PRON', 'NOUN', 'ADV', 'ADV', 'VERB', 'CCONJ', 'VERB', 'PUNCT', 'PUNCT']"
"['W', 'tajkich', 'padach', ',', 'hdyž', 'wužiwar', 'prawdźepodobnje', 'skerje', 'wěcownu', 'informaciju', 'pyta', 'hač', 'gramatisku', '(', 'na', 'př', '.', 'Budyšin', 'abo', 'Jakub', 'Bart', '-', 'Ćišinski', ')', ',', 'wotkazuje', 'wikisłownik', 'na', 'Wikipediju', '.']","['ADP', 'DET', 'NOUN', 'PUNCT', 'SCONJ', 'NOUN', 'ADV', 'ADV', 'ADJ', 'NOUN', 'VERB', 'SCONJ', 'ADJ', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'PROPN', 'CCONJ', 'PROPN', 'PROPN', 'PUNCT', 'PROPN', 'PUNCT', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']"
"['Runje', 'tak', 'ma', 'Wikipedija', 'móžnosć', ',', 'na', 'wikisłownik', 'wotkazować', '.']","['ADV', 'ADV', 'VERB', 'PROPN', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'VERB', 'PUNCT']"
"['W', 'idealnym', 'padźe', 'budźe', 'raz', 'tak', ',', 'zo', 'kóžde', 'słowo', 'w', 'kóždym', 'artiklu', 'Wikipedije', 'na', 'wotpowědne', 'hesło', 'we', 'wikisłowniku', 'wotkazuje', ',', 'tak', 'zo', 'dyrbi', 'wužiwar', 'wikipedije', 'jenož', 'na', 'njeznate', 'słowo', 'kliknyć', ',', 'zo', 'by', 'něšto', 'wo', 'nim', 'zhonił', '.']","['ADP', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADV', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT', 'ADV', 'SCONJ', 'VERB', 'NOUN', 'NOUN', 'PART', 'ADP', 'ADJ', 'NOUN', 'VERB', 'PUNCT', 'SCONJ', 'AUX', 'PRON', 'ADP', 'PRON', 'VERB', 'PUNCT']"
"['Wot', 'lěta', '3000', 'př', '.', 'n', '.', 'l', '.', 'připućowachu', 'nomadźa', 'ze', 'sewjera', 'do', 'južneho', 'Mezopotamiskeje', '.']","['ADP', 'NOUN', 'NUM', 'ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'PUNCT']"
"['Sumeriska', 'lisćina', 'kralow', ',', 'kotraž', 'tež', 'wo', 'lijeńcy', 'powěda', ',', 'dokumentuje', 'tute', 'pućowanja', 'přez', 'mjenowanje', 'semitiskich', 'mjenow', '.']","['ADJ', 'NOUN', 'NOUN', 'PUNCT', 'DET', 'ADV', 'ADP', 'NOUN', 'VERB', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN', 'PUNCT']"
"['Historikarjo', 'mjenuja', 'tutu', 'dobu', 'zažnodynastisku', 'periodu', ',', 'kotraž', 'so', 'w', '23', '.', 'lětstotku', 'př', '.', 'n', '.', 'l', '.', 'skónči', '.']","['NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'PRON', 'ADP', 'NUM', 'PUNCT', 'NOUN', 'ADP', 'PUNCT', 'DET', 'PUNCT', 'NOUN', 'PUNCT', 'VERB', 'PUNCT']"
"['Prěnje', 'pisomne', 'dopokazy', 'w', 'južnej', 'Mezopotamiskej', 'su', 'w', 'sumeriskej', 'rěči', 'spisane', '.']","['ADJ', 'ADJ', 'NOUN', 'ADP', 'ADJ', 'PROPN', 'AUX', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']"
