tokens,pos_tags
"['نەشپۈت', 'بەش', 'يىلدا', '،', 'ئۆرۈك', 'تۆت', 'يىلدا', 'مېۋە', 'بېرىدۇ', 'دېگەننى', 'ئاڭلىمىغانمىدىڭ', '؟']","['NOUN', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'NUM', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['سەن', 'شۇ', 'چاققىچە', 'سەۋر', 'قىلىپ', 'تۇرالامسەن', '؟']","['PRON', 'PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['مايمۇن', 'بىردەم', 'ئويلاپ', 'بېقىپ', 'دەپتۇ', ':']","['NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['-', 'شۇنداقمۇ', '؟', 'ھەي', '،', 'بەش', 'يىل', 'بەك', 'ئۇزاق', 'ئىكەن', '،', 'مەن', 'ساقلاپ', 'تۇرالمايمەن', '.']","['PUNCT', 'PRON', 'PUNCT', 'INTJ', 'PUNCT', 'NUM', 'NOUN', 'ADV', 'ADJ', 'AUX', 'PUNCT', 'PRON', 'VERB', 'AUX', 'PUNCT']"
"['نەشپۈت', 'كۆچىتىنى', 'يۇلىۋېتىپ', 'ئۆرۈك', 'كۆچىتى', 'تىكىپتۇ', '.']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['كۆچەت', 'ئوبدان', 'كۆكلەۋاتقاندا', '،', 'بىر', 'كاككۈك', 'ئۇچۇپ', 'كېلىپ', 'دەپتۇ', ':']","['NOUN', 'ADJ', 'VERB', 'PUNCT', 'NUM', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['-', 'كاككۇك', '–', 'كاككۇك', '!', 'مايمۇن', 'ئاكا', '،', 'مايمۇن', 'ئاكا', '،', 'ئەمدى', 'ئۆرۈك', 'كۆچىتى', 'تىكىۋاپسەنغۇ', '!']","['PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'PUNCT']"
"['ئۆرۈك', 'تۆت', 'يىلدا', '،', 'شاپتۇل', 'ئۈچ', 'يىللدا', 'مېۋىگە', 'كىرىدۇ', 'دېگەن', 'گەپ', 'بار', '.']","['NOUN', 'NUM', 'NOUN', 'PUNCT', 'PROPN', 'NUM', 'NOUN', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'PUNCT']"
"['سەن', 'شۇ', 'چاققىچە', 'تاقەت', 'قىلىپ', 'تۇرالامسەن', '!', '.']","['PRON', 'PRON', 'NOUN', 'NOUN', 'VERB', 'VERB', 'PUNCT', 'PUNCT']"
"['مايمۇن', 'بىردەم', 'ئويلىنىپ', 'بېقىپ', 'دەپتۇ', ':']","['NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'PUNCT']"
"['-', 'شۇنداقمۇ', '؟', 'ھەي', '،', 'تۆت', 'يىل', 'بەك', 'ئۇزاق', 'ئىكەن', '،', 'مەن', 'ساقلاپ', 'تۇرالمايمەن', '.']","['PUNCT', 'PRON', 'PUNCT', 'INTJ', 'PUNCT', 'NUM', 'NOUN', 'ADV', 'ADJ', 'AUX', 'PUNCT', 'PRON', 'VERB', 'AUX', 'PUNCT']"
"['ئۆرۈك', 'كۆچىتىنى', 'يۇلىۋېتىپ', 'شاپتۇل', 'كۆچىتى', 'تىكىپتۇ', '.']","['NOUN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'VERB', 'PUNCT']"
