tokens,pos_tags
"['mảnh', 'đất', 'của', 'đạn', 'bom', 'không', 'còn', 'người', 'nghèo', '.']","['NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'X', 'VERB', 'NOUN', 'ADJ', 'PUNCT']"
"['chiến tranh', 'đi', 'qua', 'để', 'lại', 'quê hương', 'Thái Mỹ', ',', 'huyện', 'Củ Chi', 'LBKT', 'TP. HCM', 'RBKT', 'hộ', 'gia đình', 'chính sách', 'và', 'hơn', '2', 'ha', '""', 'đất', 'thép', '""', '.']","['NOUN', 'VERB', 'VERB', 'VERB', 'X', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'NOUN', 'SCONJ', 'ADJ', 'NUM', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'PUNCT', 'PUNCT']"
"['buông', 'súng', ',', 'người', 'Thái Mỹ', 'cố', 'quên', 'những', 'mất mát', 'cầm', 'lấy', 'cây', 'cuốc', '.']","['VERB', 'NOUN', 'PUNCT', 'NOUN', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'NOUN', 'NOUN', 'PUNCT']"
"['Nhưng', 'mảnh', 'đất', 'thấm', 'máu', 'của', 'gần', '500', 'liệt sĩ', 'và', 'đầy', 'mảnh', 'bom đạn', 'ấy', 'không', 'đủ', 'cái', 'ăn', ',', 'cái', 'mặc', '.']","['CCONJ', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADP', 'ADJ', 'NUM', 'NOUN', 'SCONJ', 'ADJ', 'NOUN', 'NOUN', 'PROPN', 'X', 'VERB', 'NOUN', 'VERB', 'PUNCT', 'NOUN', 'VERB', 'PUNCT']"
"['Lại', 'quăng', 'cuốc', ',', 'gần', '90', '%', 'gia đình', 'phải', 'đeo', 'giỏ', 'đi', 'buôn lậu', '.']","['X', 'VERB', 'NOUN', 'PUNCT', 'ADJ', 'NUM', 'NUM', 'NOUN', 'VERB', 'VERB', 'NOUN', 'VERB', 'VERB', 'PUNCT']"
"['Nhưng', 'đó', 'là', 'chuyện', 'của', 'Thái Mỹ', '20', 'năm', 'về', 'trước', ',', 'còn', 'bây giờ', '...']","['CCONJ', 'PROPN', 'AUX', 'NOUN', 'ADP', 'NOUN', 'NUM', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'CCONJ', 'PROPN', 'PUNCT']"
"['đất', 'nghèo', 'trở mình', '.']","['NOUN', 'ADJ', 'VERB', 'PUNCT']"
"['""', 'chỗ', 'này', 'xưa', 'là', 'đồn bót', 'nè', '@']","['PUNCT', 'NOUN', 'PROPN', 'NOUN', 'AUX', 'NOUN', 'PART', 'PUNCT']"
"['Kia', 'là', 'những', 'ngôi', 'nhà', 'vách', 'đất', '.']","['PROPN', 'AUX', 'DET', 'NOUN', 'NOUN', 'NOUN', 'NOUN', 'PUNCT']"
"['Cũng', 'bằng', 'hai', 'cùi tay', 'lạ đời', ',', 'anh', 'lái', 'xe máy', 'băng băng', 'trên', 'con', 'đường', 'phẳng lì', '...']","['X', 'ADP', 'NUM', 'NOUN', 'ADJ', 'PUNCT', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'NOUN', 'ADJ', 'PUNCT']"
