tokens,pos_tags
"['Cynhaliwyd', 'cyngerdd', 'haf', 'yr', 'ysgol', 'yn', 'y', 'Miwni', ',', 'nos', 'Fercher', 'Mehefin', '21ain', '.']","[6, 1, 1, 11, 1, 7, 11, 13, 4, 1, 1, 1, 14, 4]"
"['Cafwyd', 'nifer', 'o', 'eitemau', 'amrywiol', 'gan', 'roi', 'cyfle', 'i', ""'r"", 'disgyblion', 'i', 'ddangos', 'eu', 'talentau', 'amryddawn', '.']","[6, 1, 7, 1, 10, 7, 1, 1, 7, 11, 1, 7, 1, 9, 1, 10, 4]"
"['Roedd', 'Yr', 'oedd', 'y', 'gynulleidfa', 'a', ""'r"", 'perfformwyr', 'wedi', 'mwynhau', 'y', 'noson', '.']","[8, 5, 6, 11, 1, 2, 11, 1, 0, 1, 11, 1, 4]"
"['Pa', 'Arlywydd', 'Americanaidd', 'a', 'ymwelodd', 'ag', 'Eisteddfod', 'Genedlaethol', 'Caerdydd', 'yn', '1938', '?']","[11, 1, 10, 9, 6, 7, 1, 10, 13, 7, 14, 4]"
"['Ble', 'yng', 'Nghaerdydd', 'roedd', 'yr', 'oedd', 'Saunders', 'Lewis', 'yn', 'byw', 'pan', 'ddechreuodd', 'ysgrifennu', 'ei', 'ddrama', 'Blodeuwedd', '?']","[3, 7, 13, 8, 5, 0, 13, 13, 0, 1, 12, 6, 1, 9, 1, 13, 4]"
"['Ym', 'mha', 'dafarn', 'yng', 'Nghaerdydd', 'y', 'byddai', 'Iolo', 'Morganwg', 'yn', 'cyfarfod', 'â', ""'i"", 'gyfeillion', 'barddol', '?']","[7, 11, 1, 7, 13, 5, 6, 13, 13, 0, 1, 7, 9, 1, 10, 4]"
"['Sut', 'y', 'cafodd', 'Parc', 'yr', 'Arfau', 'ei', 'enw', '?']","[3, 5, 6, 1, 11, 1, 9, 1, 4]"
"['Pa', 'gantores', 'bop', 'Gymraeg', 'a', 'Chernyweg', 'a', 'fagwyd', 'yn', 'Despenser', 'Street', '?']","[11, 1, 1, 10, 2, 10, 9, 6, 7, 13, 13, 4]"
"['Cewch', 'yr', 'ateb', 'i', ""'r"", 'cwestiynau', 'hynny', 'a', 'llawer', 'mwy', 'yma', '.']","[6, 11, 1, 7, 11, 1, 9, 2, 1, 10, 3, 4]"
"['Gellir', 'prynu', 'copïau', 'mewn', 'nifer', 'o', 'siopau', 'neu', 'ganolfannau', '.']","[6, 1, 1, 7, 1, 7, 1, 2, 1, 4]"
"['Gweler', 'rhestr', 'isod', '.']","[6, 1, 3, 4]"
"['A', 'ydych', 'yn', 'barod', 'i', 'amddiffyn', 'ein', 'hiaith', 'a', ""'n"", 'hunaniaeth', 'fel', 'cenedl', 'o', 'siaradwyr', 'Cymraeg', '?']","[5, 0, 5, 10, 7, 1, 9, 1, 2, 9, 1, 7, 1, 7, 1, 10, 4]"
"['Mae', ""'r"", 'iaith', 'Gymraeg', 'wedi', ""'i"", 'gwreiddio', 'yn', 'ein', 'cymdeithas', 'a', 'system', 'gwleidyddol', ',', 'peidiwch', 'a', 'gadael', 'iddo', 'i', 'e', 'ddiflannu', 'o', ""'n"", 'gafael', '.']","[6, 11, 1, 10, 0, 9, 1, 7, 9, 1, 2, 1, 10, 4, 6, 2, 1, 8, 7, 9, 1, 7, 5, 1, 4]"
"['Mae', 'cynnal', 'tua', '100', 'o', 'berfformiadau', 'yn', 'gofyn', 'am', 'lawer', 'o', 'wirfoddolwyr', '.']","[0, 1, 7, 14, 7, 1, 0, 1, 7, 1, 7, 1, 4]"
"['Beth', 'am', 'gynnig', 'help', 'am', 'fore', '/', 'pnawn', 'neu', 'ddiwrnod', 'naill', 'ai', 'fel', 'stiwardiaid', ',', 'actorion', '(', 'dim', 'angen', 'dysgu', 'llinellau', '!', ')', 'neu', 'i', 'edrych', 'ar', 'ôl', 'y', 'ddau', 'asyn', 'y', 'tu', 'allan', 'i', ""'r"", 'Tabernacl', '.']","[1, 7, 1, 1, 7, 1, 4, 1, 2, 1, 10, 2, 7, 1, 4, 1, 4, 3, 1, 1, 1, 4, 4, 2, 7, 1, 7, 1, 11, 14, 1, 11, 1, 3, 7, 11, 1, 4]"
"['Ar', 'fore', 'neu', 'brynhawn', 'Sadwrn', 'byddai', 'cyfle', 'i', 'rieni', 'a', 'phlant', 'actio', 'pobl', 'Nasareth', 'a', 'Bethlehem', '.']","[7, 1, 2, 1, 1, 0, 1, 7, 1, 2, 1, 1, 1, 13, 2, 13, 4]"
"['Ymunwch', 'â', 'ni', 'am', 'noson', 'i', 'ddathlu', 'un', 'o', 'gasglwyr', 'mwyaf', 'craff', 'Cymru', 'a', ""'i"", 'lyfrgell', 'hynod', ',', 'mewn', 'digwyddiad', 'bywiog', 'yn', 'Archifau', ""'r"", 'Brifysgol', '.']","[6, 7, 9, 7, 1, 7, 1, 14, 7, 1, 10, 10, 13, 2, 9, 1, 10, 4, 7, 1, 10, 7, 1, 11, 1, 4]"
"['Ganed', 'y', 'casglwr', 'llyfrau', ',', 'aelod', 'seneddol', ',', 'dyn', 'busnes', 'a', 'chyfreithiwr', ',', 'Enoch', 'Salisbury', ',', 'ar', 'y', '7ed', 'o', 'Dachwedd', ',', '1819', '.']","[6, 11, 1, 1, 4, 1, 10, 4, 1, 1, 2, 1, 4, 13, 13, 4, 7, 11, 1, 7, 1, 4, 14, 4]"
"['Ar', 'ôl', 'derbyn', 'llyfr', 'Cymraeg', 'yn', 'anrheg', 'pen', 'blwydd', 'pan', 'yn', 'blentyn', 'bach', ',', 'fe', 'dreuliodd', 'weddill', 'ei', 'oes', 'yn', 'casglu', ',', 'a', 'darllen', ',', 'pob', 'math', 'o', 'lyfrau', 'am', 'Gymru', '.']","[7, 1, 1, 1, 10, 7, 1, 1, 1, 12, 5, 1, 10, 4, 5, 6, 1, 9, 1, 0, 1, 4, 2, 1, 4, 10, 1, 7, 1, 7, 13, 4]"
