tokens,pos_tags
"['Ci', 'wàllu', 'xay', 'Kajoor', 'moo', 'mu', 'a', 'doonoon', 'seetub', 'Senegaal', '.']","['ADP', 'NOUN', 'NOUN', 'PROPN', None, 'PRON', 'AUX', 'VERB', 'NOUN', 'PROPN', 'PUNCT']"
"['Dammeel', 'moo', 'mu', 'a', 'nekkoon', 'ca', 'kaw', 'di', 'seddale', 'ay', 'ndomboy', 'tànk', '.']","['PROPN', None, 'PRON', 'AUX', 'VERB', 'ADP', 'NOUN', 'AUX', 'VERB', 'DET', 'NOUN', 'NOUN', 'PUNCT']"
"['Kajoor', 'moo', 'mu', 'a', 'di', 'kàdd', 'ag', 'garab', 'gu', 'nekk', 'Senegaal', 'ak', 'joor', ',', 'suuf', 'si', '.']","['PROPN', None, 'PRON', 'AUX', 'AUX', 'NOUN', 'DET', 'NOUN', 'PRON', 'VERB', 'PROPN', 'CCONJ', 'NOUN', 'PUNCT', 'NOUN', 'DET', 'PUNCT']"
"['Moo', 'Mu', 'a', 'jur', 'baat', 'boobu', 'Kajoor', 'ci', 'Wolof', '.']","[None, 'PRON', 'AUX', 'VERB', 'NOUN', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']"
"['Ñi', 'jëkk', 'a', 'yor', 'suufi', 'Kajoor', ',', 'ay', 'séeréer', 'lañu', 'woon', '.']","['PRON', 'VERB', 'PART', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
"['Ñu', 'doonoon', 'ay', 'lamaan', 'te', 'sant', 'JAAÑ', '.']","['PRON', 'VERB', 'DET', 'NOUN', 'CCONJ', 'VERB', 'PROPN', 'PUNCT']"
"['Ba', 'pare', ',', 'xeetu', 'Wagadu', 'ak', 'Jafunu', ',', 'soqi', 'ci', 'Sooninké', 'yi', ',', 'jóge', 'ca', 'penku', '.']","['SCONJ', 'VERB', 'PUNCT', 'NOUN', 'PROPN', 'CCONJ', 'PROPN', 'PUNCT', 'VERB', 'ADP', 'PROPN', 'DET', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'PUNCT']"
"['Ñoo', 'Ñu', 'a', 'sos', 'meen', 'yi', 'jëkk', 'a', 'ilif', 'nguur', 'gi', ',', 'ak', 'ñu', 'sant', 'FAAL', '.']","[None, 'PRON', 'AUX', 'VERB', 'NOUN', 'PRON', 'VERB', 'PART', 'VERB', 'NOUN', 'DET', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'PROPN', 'PUNCT']"
"['Gàddaay', 'moo', 'mu', 'a', 'leen', 'tax', 'ñëw', 'Kajoor', '.']","['NOUN', None, 'PRON', 'AUX', 'PRON', 'VERB', 'VERB', 'PROPN', 'PUNCT']"
"['Kon', 'ñooñu', 'mujj', 'nekk', 'Dammeel', 'Kajoor', ',', 'ay', 'doxandéem', 'lañu', 'yu', 'nekkoon', 'ca', 'réew', 'moomu', 'ca', 'njëlbéen', '.']","['ADV', 'PRON', 'VERB', 'VERB', 'PROPN', 'PROPN', 'PUNCT', 'DET', 'NOUN', 'AUX', 'PRON', 'VERB', 'ADP', 'NOUN', 'DET', 'ADP', 'NOUN', 'PUNCT']"
"['Dammeel', 'mooy', 'mu', 'a', 'di', 'damm', '.']","['PROPN', None, 'PRON', 'AUX', 'VERB', 'VERB', 'PUNCT']"
